name,description
admarea,"Administrative partition (okrug)"
adres,"Address of the building"
ddoc,""
dmt,""
dreg,""
geodata,"to be removed"
global_id,"unique lot id"
kad_kv,""
kad_rn,""
kad_zu,""
kadnomzu,""
krt,""
ndoc,""
nreg,""
soor,""
strt,""
tdoc,""
unom,""
vld,""
vyvad,""
